"JACKSON PROPERTIES, INC.",,,,,Summarized Commercial Rent Roll,,,,,,,,,,Page 1
,,,,,,,,,,,,04-01-29,"27,259",,
,,,,,,,,,,,,04-01-30,"34,074",,
310,020NEL003-01,Nelson Staffing,"4,458",,FS,"11,145.00",2.50,,,02-01-16,07-31-26,,,Renew/Extension,
,,,,,,,,,,,,,,Relocation,
,,,,,,,,,,,,,,Holdover,
,,,,,,,,,,,,06-01-21,"10,922",,
,,,,,,,,,,,,06-01-22,"11,195",,
,,,,,,,,,,,,06-01-23,"11,475",,
,,,,,,,,,,,,06-01-24,"11,762",,
,,,,,,,,,,,,06-01-25,"12,056",,
,,,,,,,,,,,,08-01-26,"18,084",,
320,VACANT,Since 3-13-2020,"4,796",,,,,,,,,,,Termination,
,,,,,,,,,,,,,,Holdover,
CONFVACANT,,Since,,294,,,,,,,,,,,
GYM VACANT,,Since,,309,,,,,,,,,,,
Property 020-05-01 Summary Totals:,,,"53,461","7,438",,"76,135.48",,517.40,.00,,,,,,.00
Park Totals:,,,"53,461","7,438",,"76,135.48",,517.40,.00,,,,,,.00
